# HEADER
SERVER_TIME,2026.03.27 13:19:23
SYMBOL,XAUUSD
BID,4439.942
ASK,4440.158

# OPEN_POSITIONS (Ticket,Type,Vol,Open,Profit)
NONE,NONE,0,0,0

# PENDING_ORDERS (Ticket,Type,Vol,Price)
NONE,NONE,0,0

# CLOSED_HISTORY (Ticket,Type,Vol,Profit)
1500616694,BUY_EXIT,0.01,-5.90
1500616624,SELL_EXIT,0.01,-2.16
1500206831,SELL_EXIT,0.01,-38.24
1496467719,BUY_EXIT,0.01,-14.47
1496212681,SELL_EXIT,0.01,-6.11

# HISTORY_M5 (Time,Open,High,Low,Close)
19:30,4644.289,4649.450,4637.047,4646.410
19:25,4644.113,4646.663,4633.013,4644.228
19:20,4658.023,4658.573,4643.158,4644.039
19:15,4657.036,4662.008,4646.958,4657.830
19:10,4650.206,4663.436,4641.796,4656.959
19:05,4635.304,4658.353,4632.950,4650.148
19:00,4622.897,4648.650,4622.897,4635.197
18:55,4607.283,4623.166,4604.624,4622.893
18:50,4607.795,4608.791,4604.482,4607.206
18:45,4609.102,4614.409,4607.209,4607.871
18:40,4606.214,4610.548,4604.881,4609.044
18:35,4603.653,4606.792,4595.998,4606.406
18:30,4609.428,4611.294,4601.614,4603.548
18:25,4607.551,4614.622,4607.380,4609.364
18:20,4608.731,4611.797,4604.471,4607.621
18:15,4614.567,4617.480,4607.050,4608.782
18:10,4610.722,4617.087,4609.624,4614.596
18:05,4610.756,4612.689,4600.989,4610.792
18:00,4616.065,4619.117,4604.129,4610.582
17:55,4624.524,4625.231,4614.577,4616.147
17:50,4610.246,4629.909,4609.461,4624.592
17:45,4605.313,4613.374,4604.901,4610.173
17:40,4605.961,4610.336,4602.597,4605.234
17:35,4606.017,4608.111,4599.688,4606.233
17:30,4603.016,4618.743,4603.016,4606.086
17:25,4610.594,4613.829,4599.346,4602.953
17:20,4597.190,4611.187,4596.581,4610.520
17:15,4579.474,4599.060,4574.072,4597.266
17:10,4577.881,4585.206,4573.729,4579.357
17:05,4591.182,4596.267,4576.334,4578.017
17:00,4584.746,4594.514,4581.388,4591.226
